provincia_id,provincia_nombre,causa_id,caso_id_ministerio_publico,circunscripcion_id,circunscripcion_descripcion,unidad_id,unidad_descripcion,caso_fecha_inicio,causa_fecha_hecho,delito_codigo,delito_descripcion,delito_tentativa,delito_estadistico,fecha_envio
18,Corrientes,PEX-205913/19,PEX-205913/19,1,Corrientes capital,1MC103,JUZG. DE MEN. NRO. 3 - CORREC.,2019-07-01,2019-06-30,CP.163.0.00.01.00,"Hurto de productos separados del suelo o de máquinas, instrumentos de trabajo, etc.",SI,Hurto,2019-11-22
18,Corrientes,PEX-205914/19,PEX-205914/19,1,Corrientes capital,1PI106,JUZG. DE INST. NRO. 6,2019-07-01,2019-06-29,CP.167.0.00.01.00,Robo en despoblado,NO,Robo,2019-11-22
18,Corrientes,PEX-205915/19,PEX-205915/19,1,Corrientes capital,1MC103,JUZG. DE MEN. NRO. 3 - CORREC.,2019-07-01,2017-09-17,SEGUIMIENTO TUTELAR,Seguimiento tutelar,NO,Sin clasificar,2019-11-22
18,Corrientes,PEX-205924/19,PEX-205924/19,1,Corrientes capital,1FM102,FISC. CORREC. Y MEN. NRO. 2,2019-07-01,2019-07-01,DENUNCIA,Denuncia,NO,Sin informar,2019-11-22
18,Corrientes,PEX-205933/19,PEX-205933/19,1,Corrientes capital,1PI104,JUZG. DE INST. NRO. 4,2019-07-01,2019-05-24,CP.166.0.02.00.00,Robo con arma de fuego,NO,Robo,2019-11-22
18,Corrientes,PEX-205934/19,PEX-205934/19,1,Corrientes capital,1PI104,JUZG. DE INST. NRO. 4,2019-07-01,2019-05-19,CP.167.0.00.01.00,Robo en despoblado,NO,Robo,2019-11-22
18,Corrientes,PEX-205937/19,PEX-205937/19,1,Corrientes capital,1MC103,JUZG. DE MEN. NRO. 3 - CORREC.,2019-07-01,2019-06-28,CP.164.0.00.00.00,Robo simple,SI,Robo,2019-11-22
18,Corrientes,PEX-205937/19,PEX-205937/19,1,Corrientes capital,1MC103,JUZG. DE MEN. NRO. 3 - CORREC.,2019-07-01,2019-06-28,OFICIO,Oficio,NO,Sin clasificar,2019-11-22
18,Corrientes,PEX-205941/19,PEX-205941/19,1,Corrientes capital,1PI104,JUZG. DE INST. NRO. 4,2019-07-01,2019-05-29,CP.163.0.00.01.00,"Hurto de productos separados del suelo o de máquinas, instrumentos de trabajo, etc.",NO,Hurto,2019-11-22
18,Corrientes,PEX-205942/19,PEX-205942/19,1,Corrientes capital,1PR101,JUZG. EN LO CORRECCIONAL NRO. 1,2019-07-11,2019-05-06,CP.277.0.00.00.00,Encubrimiento,NO,Encubrimiento,2019-11-22
18,Corrientes,PEX-205943/19,PEX-205943/19,1,Corrientes capital,1PI104,JUZG. DE INST. NRO. 4,2019-07-01,2019-05-28,CP.167.0.00.01.00,Robo en despoblado,NO,Robo,2019-11-22
18,Corrientes,PEX-205944/19,PEX-205944/19,1,Corrientes capital,1PI104,JUZG. DE INST. NRO. 4,2019-07-01,2019-05-29,CP.163.0.00.01.00,"Hurto de productos separados del suelo o de máquinas, instrumentos de trabajo, etc.",NO,Hurto,2019-11-22
18,Corrientes,PEX-205946/19,PEX-205946/19,1,Corrientes capital,1PI101,JUZG. DE INST. NRO. 1,2019-07-01,2019-07-01,CP.167.0.00.01.00,Robo en despoblado,NO,Robo,2019-11-22
18,Corrientes,PEX-205948/19,PEX-205948/19,1,Corrientes capital,1FM102,FISC. CORREC. Y MEN. NRO. 2,2019-07-01,2019-07-01,DENUNCIA,Denuncia,NO,Sin informar,2019-11-22
